Region,Team,Player,ACS,K:D,KAST,HS,Clutches,K,D,A,Opening Duel Win
North America,Cloud9,leaf,262,1.28,70.0,0.24,11,537,420,121,55.6
North America,XSET,Cryocells,252,1.45,69.0,0.26,7,435,299,51,56.8
EMEA,Acend,cNed,258,1.22,68.0,0.24,1,240,196,40,66.7
North America,XSET,AYRIN,166,0.8,72.0,0.13,6,253,317,165,46.4
EMEA,G2 Esports,nukkye,257,1.27,77.0,0.2,9,462,364,170,56.4
North America,XSET,dephh,189,0.96,68.0,0.26,7,304,316,108,49.4
EMEA,Fnatic,Derke,253,1.14,69.0,0.25,3,376,330,78,58.1
North America,XSET,BcJ,180,0.9,71.0,0.17,3,270,301,170,44.8
North America,XSET,zekken,222,1.07,72.0,0.21,1,346,324,149,45.0
EMEA,BBL Esports,QutionerX,243,1.16,71.0,0.24,4,192,165,34,56.9
North America,Version1,penny,237,1.25,75.0,0.22,9,367,294,79,56.2
EMEA,M3 Champions,Chronicle,242,1.23,75.0,0.23,3,328,266,149,56.6
North America,Version1,zander,224,1.19,78.0,0.26,11,344,289,172,59.3
North America,OpTic Gaming,yay,239,1.33,72.0,0.24,5,459,344,65,58.3
North America,Version1,Zellsis,211,1.06,75.0,0.18,5,315,297,191,43.9
North America,Version1,effys,180,0.96,76.0,0.2,8,277,290,137,41.9
EMEA,FunPlus Phoenix,ardiis,235,1.12,68.0,0.22,3,294,262,61,55.9
North America,Version1,wippie,213,1.14,75.0,0.21,3,331,291,111,57.3
North America,The Guard,Sayaplayer,235,1.29,73.0,0.26,10,463,360,83,55.1
North America,Knights,ban,232,1.03,71.0,0.27,2,279,272,54,64.4
North America,The Guard,trent,231,1.32,77.0,0.34,11,450,340,134,51.1
EMEA,BIG,Twisten,232,1,66.0,0.24,1,217,218,66,59.2
North America,The Guard,neT,192,1,71.0,0.3,6,369,370,95,51.2
North America,The Guard,valyn,204,1.14,76.0,0.24,6,395,345,197,53.9
North America,Sentinels,TenZ,229,1.06,69.0,0.23,7,315,296,87,48.6
